+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
| Domain | Method    | URI                                                       | Name                            | Action                                                                            | Middleware                                                                             |
+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
|        | GET|HEAD  | /                                                         |                                 | App\Http\Controllers\InicioController@index                                       | web                                                                                    |
|        | GET|HEAD  | events/{event}/organizers                                 | events.organizers.index         | App\Http\Controllers\Evento\EventOrganizerController@index                        | web                                                                                    |
|        | POST      | events/{event}/prices                                     | events.prices.store             | App\Http\Controllers\Evento\EventPriceController@store                            | web                                                                                    |
|        | GET|HEAD  | events/{event}/prices                                     | events.prices.index             | App\Http\Controllers\Evento\EventPriceController@index                            | web                                                                                    |
|        | PUT|PATCH | events/{event}/prices/{price}                             | events.prices.update            | App\Http\Controllers\Evento\EventPriceController@update                           | web                                                                                    |
|        | GET|HEAD  | events/{event}/prices/{price}                             | events.prices.show              | App\Http\Controllers\Evento\EventPriceController@show                             | web                                                                                    |
|        | DELETE    | events/{event}/prices/{price}                             | events.prices.destroy           | App\Http\Controllers\Evento\EventPriceController@destroy                          | web                                                                                    |
|        | GET|HEAD  | events/{event}/subevents                                  | events.subevents.index          | App\Http\Controllers\Evento\EventSubeventController@index                         | web                                                                                    |
|        | POST      | events/{event}/subevents                                  | events.subevents.store          | App\Http\Controllers\Evento\EventSubeventController@store                         | web,transform.input:App\Transformers\SubeventTransformer,can:agregarSubevento,event    |
|        | PUT|PATCH | events/{event}/subevents/{subevent}                       | events.subevents.update         | App\Http\Controllers\Evento\EventSubeventController@update                        | web,transform.input:App\Transformers\SubeventTransformer,can:actualizarSubevento,event |
|        | DELETE    | events/{event}/subevents/{subevent}                       | events.subevents.destroy        | App\Http\Controllers\Evento\EventSubeventController@destroy                       | web,can:eliminarSubevento,event                                                        |
|        | GET|HEAD  | events/{event}/subevents/{subevent}                       | events.subevents.show           | App\Http\Controllers\Evento\EventSubeventController@show                          | web                                                                                    |
|        | GET|HEAD  | inscripciones                                             | asistente.inscripciones         | App\Http\Controllers\Asistente\AssistantController@mostrarPanelInscripciones      | web,can:verInscripciones,App\Asistente                                                 |
